,Record Date,Venue Name,Sum of Net Revenue
105,2026-04-24,DEFY Cincinnati,$136.95
106,2026-04-24,DEFY Scranton,"$1,321.47"
107,2026-04-24,Sky Zone Whitby,"$1,570.29"
108,2026-04-24,Sky Zone Vancouver,"$3,109.83"
109,2026-04-24,DEFY Iowa City,"$1,065.45"
110,2026-04-24,Sky Zone Deer Park,"$1,114.67"
111,2026-04-24,Sky Zone Knoxville,"$2,408.01"
112,2026-04-24,Sky Zone Woodbridge,"$2,357.18"
113,2026-04-24,Sky Zone Spring Valley Nanuet NY,$756.74
114,2026-04-24,Sky Zone Manassas,$853.68
115,2026-04-24,Sky Zone Bridgeville Hendersonville PA,"$1,517.34"
116,2026-04-24,Sky Zone Florence KY,"$1,352.51"
117,2026-04-24,Sky Zone Mount Kisco,"$3,101.67"
118,2026-04-24,Sky Zone Chesapeake,"$1,379.95"
119,2026-04-24,Sky Zone Fayetteville,"$2,526.90"
120,2026-04-24,Sky Zone Lakeland,"$1,239.03"
121,2026-04-24,Sky Zone Palm Springs,"$3,989.56"
122,2026-04-24,Sky Zone Nampa ID,"$1,463.23"
123,2026-04-24,Sky Zone Mississauga,"$1,393.51"
124,2026-04-24,Sky Zone Allendale Saddle River NJ,$696.73
125,2026-04-24,Sky Zone Scottsdale AZ,$454.79
126,2026-04-24,Sky Zone Denver Aurora,"$3,093.83"
127,2026-04-24,Sky Zone Mt Olive Budd Lake NJ,$575.81
128,2026-04-24,Sky Zone New Rochelle,"$1,860.78"
129,2026-04-24,Sky Zone Hickory NC,"$2,297.08"
130,2026-04-24,Sky Zone Providence RI,$632.73
