,Record Date,Venue Name,Sum of Net Revenue
102,2026-05-13,Sky Zone Short Pump,"$1,647.75"
103,2026-05-13,Sky Zone Evanston,"$2,564.50"
104,2026-05-13,DEFY Cincinnati,$215.11
105,2026-05-13,Sky Zone Orlando,"$2,047.18"
106,2026-05-13,Sky Zone Nashville,"$8,288.89"
107,2026-05-13,Sky Zone Mt Olive Budd Lake NJ,"$1,308.64"
108,2026-05-13,Sky Zone Chula Vista,"$2,586.25"
109,2026-05-13,Sky Zone Summerlin Las Vegas,"$3,454.44"
110,2026-05-13,Sky Zone Palm Bay Melbourne FL,"$2,937.75"
111,2026-05-13,Sky Zone Fayetteville,"$3,902.92"
112,2026-05-13,Sky Zone Arvada,"$4,004.09"
113,2026-05-13,Sky Zone Riverside,"$1,528.59"
114,2026-05-13,DEFY Jackson,"$3,049.20"
115,2026-05-13,Sky Zone Deer Park,"$2,897.39"
116,2026-05-13,Sky Zone Bradenton Lakewood FL,"$2,571.29"
117,2026-05-13,Sky Zone Torrance,"$23,383.75"
118,2026-05-13,Sky Zone Providence RI,"$2,247.16"
119,2026-05-13,Sky Zone Phoenix AZ,"$3,024.60"
120,2026-05-13,Sky Zone Roswell GA,"$2,582.65"
121,2026-05-13,Sky Zone South Plainfield Piscataway NJ,"$2,619.96"
122,2026-05-13,Sky Zone Huntington Beach CA,"$6,471.50"
123,2026-05-13,Sky Zone Temecula,"$4,227.62"
124,2026-05-13,Sky Zone Mountlake Terrace WA,"$5,837.44"
125,2026-05-13,Sky Zone Yonkers,"$3,442.41"
126,2026-05-13,Sky Zone Daytona,"$1,726.94"
127,2026-05-13,Sky Zone Manassas,"$2,080.08"
128,2026-05-13,Sky Zone Duluth,"$4,006.09"
129,2026-05-13,Sky Zone Mississauga,"$2,915.89"
130,2026-05-13,Sky Zone Danvers MA,"$1,953.55"
131,2026-05-13,Sky Zone Springfield NJ,"$3,499.11"
132,2026-05-13,Sky Zone Scottsdale AZ,"$4,958.09"
133,2026-05-13,Sky Zone Rancho Cucamonga,"$4,701.05"
134,2026-05-13,Sky Zone Oakdale,"$2,363.34"
135,2026-05-13,Sky Zone Brentwood CA,"$3,967.03"
136,2026-05-13,Sky Zone Toronto,"$3,528.18"
